Connections ID, Vehicle ID, Time Stamp, Current Open Connections
41,5068,4.4,
,,8.4,
,,12.4,
,,16.4,
,,20.4,
,,24.4,
,,28.4,
,,32.4,
,,36.4,
,,40.4,
,,44.4,
,,48.4,
,,52.4,
,,56.4,
,,60.4,
,,64.4,
,,68.4,
,,72.4,
,,76.4,
,,80.4,
,,84.4,
,,88.4,
,,92.4,
,,96.4,
,,100.4,
,,104.4,
,,108.4,
,,112.4,
,,116.4,
,,120.4,
,,124.4,
,,128.4,
,,132.4,
,,136.4,
,,140.4,
,,144.4,5086'5093'5104
,,148.4,5093'5104
,,152.4,5093'5104
,,156.4,5093'5104
,,160.4,5093
,,164.4,5093
,,168.4,5074'5089'5093
,,172.4,
,,176.4,5081'5093
,,180.4,5093
,,184.4,5073'5093
,,188.4,5073
,,192.4,5073
,,196.4,
,,200.4,
,,204.4,5085
,,208.4,5085
,,212.4,5085
,,216.4,5085'5098
,,220.4,5098
,,224.4,5085
,,228.4,5085
,,232.4,5085
,,236.4,5109
,,240.4,5094'5098'5109
,,244.4,5094'5109
,,248.4,5094
,,252.4,5094
,,256.4,5094
,,260.4,5094
,,264.4,5094
,,268.4,5094
,,272.4,5094
,,276.4,
,,280.4,5102
,,284.4,
,,288.4,
,,292.4,5067'5102'5110
,,296.4,
,,300.4,5095'5110
,,304.4,5110
,,308.4,
,,312.4,5109
,,316.4,5109
,,320.4,5109
,,324.4,5102'5109'5110
,,328.4,5110
42,5101,4.4,
,,8.4,
,,12.4,
,,16.4,
,,20.4,
,,24.4,5083'5097
,,28.4,5097
,,32.4,5054'5097
,,36.4,5054
,,40.4,5054
,,44.4,5054
,,48.4,5054'5058'5091
,,52.4,
,,56.4,
,,60.4,5058'5094
,,64.4,
,,68.4,5058'5067
,,72.4,
,,76.4,
,,80.4,
,,84.4,
,,88.4,
,,92.4,
,,96.4,
,,100.4,
,,104.4,
,,108.4,
,,112.4,
,,116.4,
,,120.4,5062'5071'5097
,,124.4,5062'5071'5083
,,128.4,
,,132.4,5071'5074'5085
,,136.4,5071'5074
,,140.4,5071
,,144.4,5080
,,148.4,5087'5100
,,152.4,5062'5100
,,156.4,5107
,,160.4,5072'5107
,,164.4,5072
,,168.4,
,,172.4,5065
,,176.4,5082
,,180.4,5082
,,184.4,5057
,,188.4,5084
,,192.4,5089
,,196.4,5089
,,200.4,
,,204.4,
,,208.4,
,,212.4,
,,216.4,
,,220.4,5087
,,224.4,5087
,,228.4,
,,232.4,
,,236.4,5065'5107
,,240.4,5065'5107
,,244.4,
,,248.4,
,,252.4,5095
,,256.4,5095'5107
,,260.4,5095'5107
,,264.4,5095'5107
,,268.4,5107
,,272.4,5096
,,276.4,5096'5107
,,280.4,5096'5107
,,284.4,5096'5104'5108
,,288.4,5096
,,292.4,5096
,,296.4,5096
,,300.4,5096
,,304.4,5096
,,308.4,
,,312.4,
,,316.4,
,,320.4,
,,324.4,
,,328.4,5068
43,5100,4.4,
,,8.4,
,,12.4,
,,16.4,
,,20.4,
,,24.4,5087
,,28.4,5087'5088
,,32.4,5087
,,36.4,5087
,,40.4,5087
,,44.4,5080'5087
,,48.4,5080'5087
,,52.4,
,,56.4,
,,60.4,5050'5080
,,64.4,5057'5080'5099
,,68.4,
,,72.4,
,,76.4,
,,80.4,
,,84.4,
,,88.4,
,,92.4,
,,96.4,
,,100.4,5087'5107
,,104.4,
,,108.4,
,,112.4,
,,116.4,
,,120.4,
,,124.4,
,,128.4,
,,132.4,
,,136.4,
,,140.4,
,,144.4,
,,148.4,
,,152.4,
,,156.4,
,,160.4,
,,164.4,
,,168.4,
,,172.4,
,,176.4,5057'5085'5087
,,180.4,5074'5078'5085
,,184.4,5074'5078
,,188.4,5074'5078
,,192.4,5074'5096'5098
,,196.4,
,,200.4,
,,204.4,5074
,,208.4,5074
,,212.4,
,,216.4,
,,220.4,
,,224.4,
,,228.4,5067'5074'5104
,,232.4,5054'5074'5094
,,236.4,5067'5087'5094
,,240.4,
,,244.4,
,,248.4,5054'5067'5104
,,252.4,5054'5098
,,256.4,
,,260.4,
,,264.4,
,,268.4,5065
,,272.4,5065
,,276.4,5065'5074
44,5098,4.4,
,,8.4,5071'5097
,,12.4,5097
,,16.4,5067'5072'5090
,,20.4,
,,24.4,
,,28.4,5067'5073'5090
,,32.4,
,,36.4,5066'5071'5073
,,40.4,5056'5071
,,44.4,5064
,,48.4,
,,52.4,5059'5094'5095
,,56.4,
,,60.4,5059'5091
,,64.4,5091
,,68.4,5074'5083
,,72.4,
,,76.4,
,,80.4,5087
,,84.4,
,,88.4,
,,92.4,
,,96.4,
,,100.4,
,,104.4,5100'5107
,,108.4,
,,112.4,
,,116.4,
,,120.4,
,,124.4,
,,128.4,
,,132.4,5085'5095'5100
,,136.4,5063'5085'5095
,,140.4,5063'5085'5095
,,144.4,5085'5095
,,148.4,
,,152.4,
,,156.4,5073'5085'5095
,,160.4,5085'5095
,,164.4,5085'5095'5104
,,168.4,5085'5095'5104
,,172.4,5080'5085'5095
,,176.4,5080'5085'5095
,,180.4,
,,184.4,
,,188.4,
,,192.4,5074'5078'5096
,,196.4,5074
,,200.4,5108
