Connections ID, Vehicle ID, Time Stamp, Current Open Connections
1,4643,4.4,
,,8.4,4476'4466'4606
,,12.4,4690'4291'4567
,,16.4,4600'4378'4689
,,20.4,4529'4447'4357
,,24.4,4563'4600'4563
,,28.4,4417'4349'4642
,,32.4,4666'4362'4466
,,36.4,4466'4518'4666
,,40.4,4438'4360'4575
,,44.4,4518'4666'4417
,,48.4,4575'4676'4663
,,52.4,4563'4666'4698
2,4642,4.4,
,,8.4,4459'4477'4600
,,12.4,4326'4541'4592
,,16.4,4447'4350'4447
,,20.4,4459'4313'4524
,,24.4,4567'4481'4497
,,28.4,4362'4476'4495
,,32.4,4291'4575'4600
,,36.4,4417'4696'4362
,,40.4,4567'4549'4689
,,44.4,4518'4666'4476
,,48.4,4389'4400'4488
,,52.4,4689'4478'4606
,,56.4,4564'4360'4476
,,60.4,4636'4697'4623
,,64.4,4580'4463'4520
,,68.4,4478'4520'4478
,,72.4,4495'4298'4298
,,76.4,4488'4654'4388
9,4608,4.4,
10,4531,4.4,
,,8.4,4614'4449'4401
,,12.4,4572'4366'4298
,,16.4,4539'4643'4542
,,20.4,4591'4308'4298
,,24.4,4637'4484'4572
,,28.4,4503'4637'4568
,,32.4,4552'4515'4515
,,36.4,4688'4478'4478
,,40.4,4503'4370'4333
,,44.4,4446'4488'4569
,,48.4,4591'4509'4646
,,52.4,4478'4575'4484
,,56.4,4286'4646'4542
,,60.4,4542'4654'4704
,,64.4,4636'4697'4294
,,68.4,4618'4291'4654
,,72.4,4488'4497'4636
,,76.4,4547'4662'4564
11,4530,4.4,
,,8.4,4456'4310'4586
,,12.4,4434'4554'4312
,,16.4,4565'4371'4403
,,20.4,4487'4371'4434
,,24.4,4629'4552'4371
,,28.4,4387'4434'4387
,,32.4,4379'4640'4371
,,36.4,4654'4541'4640
,,40.4,4670'4513'4395
,,44.4,4395'4499'4506
,,48.4,4507'4612'4511
,,52.4,4312'4440'4300
,,56.4,4524'4640'4537
,,60.4,4327'4676'4337
,,64.4,4531'4466'4552
,,68.4,4569'4569'4466
,,72.4,4678'4572'4294
,,76.4,4511'4678'4613
12,4632,4.4,
,,8.4,4356'4576'4507
,,12.4,4430'4382'4678
,,16.4,4598'4351'4430
,,20.4,4560'4430'4426
,,24.4,4576'4382'4486
,,28.4,4336'4337'4553
,,32.4,4621'4308'4308
,,36.4,4612'4525'4650
,,40.4,4467'4447'4598
,,44.4,4369'4369'4372
,,48.4,4489'4496'4570
,,52.4,4469'4615'4429
,,56.4,4618'4651'4580
,,60.4,4497'4388'4591
,,64.4,4568'4478'4478
,,68.4,4598'4494'4654
,,72.4,4707'4366'4473
,,76.4,4430'4327'4361
13,4498,4.4,
,,8.4,4355'4325'4549
