Connections ID, Vehicle ID, Time Stamp, Current Open Connections
41,5203,4.4,
,,8.4,5203
,,12.4,5203'5221
,,16.4,5203'5221
,,20.4,5203'5221
,,24.4,5203'5221
,,28.4,5203'5221
,,32.4,5203'5221
,,36.4,5203'5221
,,40.4,5203'5221
,,44.4,5203'5216'5221
,,48.4,5203'5216'5221
,,52.4,5203'5216'5221
,,56.4,5203'5216'5221
,,60.4,5203'5216'5221
,,64.4,5203'5216'5221
,,68.4,5203'5216'5221
,,72.4,
,,76.4,
,,80.4,5203'5216'5221
,,84.4,5203'5216'5221
,,88.4,
,,92.4,
,,96.4,
,,100.4,
,,104.4,5200'5203'5221
,,108.4,
,,112.4,
,,116.4,
,,120.4,
,,124.4,
,,128.4,5180'5203'5228
,,132.4,
,,136.4,5180'5203'5234
,,140.4,5203'5234
,,144.4,5203
,,148.4,5203
,,152.4,5203
,,156.4,5203
,,160.4,5203'5221
,,164.4,5203'5221
,,168.4,5203'5221
,,172.4,5203'5221
,,176.4,5203'5221
,,180.4,5203'5221
,,184.4,5203'5221
,,188.4,5203'5221
,,192.4,5203'5221
,,196.4,5203'5221
,,200.4,5203'5215'5221
,,204.4,5203'5215'5221
,,208.4,5203'5215'5221
,,212.4,5203'5215'5221
,,216.4,5203'5215'5221
,,220.4,5203'5221
,,224.4,5203'5221
,,228.4,5203'5221
,,232.4,5203'5221'5226
,,236.4,5203'5221'5226
,,240.4,5203'5221'5226
,,244.4,5203'5221'5226
,,248.4,5203'5221'5226
,,252.4,5203'5221'5226
,,256.4,5203'5221'5226
,,260.4,5203'5221'5226
,,264.4,5203'5221'5226
,,268.4,5203'5221'5226
,,272.4,5203'5226
,,276.4,5203'5226
,,280.4,5203'5226
,,284.4,5203'5226
,,288.4,
,,292.4,5203'5208'5210
,,296.4,5203'5221
,,300.4,5203'5221
,,304.4,5203'5221
,,308.4,5203'5221
,,312.4,5203'5221
,,316.4,5203
,,320.4,5203
,,324.4,5203
,,328.4,5203
42,5185,4.4,
,,8.4,5185
,,12.4,5185
,,16.4,5185
,,20.4,5185
,,24.4,5185
,,28.4,5185
,,32.4,5185
,,36.4,5185
,,40.4,5185
,,44.4,5185
,,48.4,5185
